previous_grade_score,background_academic_score,enrolled_units_count,difficulty_level,past_failures_count,approved_units_count,study_time_level,absence_rate,age_group,parent_education_level,student_status
100.0,63.65,3.0,1,0,0.0,2,2,0,41.66666666666667,0
100.0,71.25,12.0,0,0,12.0,2,2,0,41.66666666666667,2
100.0,62.4,12.0,0,0,0.0,2,2,0,41.66666666666667,0
100.0,59.8,12.0,0,0,11.0,2,2,0,41.66666666666667,2
100.0,70.75,12.0,0,0,11.0,2,2,2,41.66666666666667,2
100.0,57.4,10.0,0,5,10.0,2,2,2,41.66666666666667,2
100.0,64.2,14.0,0,0,15.0,2,2,0,41.66666666666667,2
100.0,56.55,10.0,0,0,0.0,2,2,1,41.66666666666667,0
100.0,64.65,12.0,0,0,12.0,2,2,1,41.66666666666667,2
100.0,61.5,12.0,0,0,7.0,2,2,0,41.66666666666667,0
100.0,65.3,12.0,0,0,11.0,2,2,0,41.66666666666667,2
100.0,59.650000000000006,14.0,0,0,14.0,2,2,0,41.66666666666667,2
100.0,65.1,12.0,0,0,0.0,2,2,0,41.66666666666667,0
100.0,55.89999999999999,12.0,0,0,11.0,2,2,1,41.66666666666667,2
100.0,68.55,10.0,0,0,9.0,2,2,0,41.66666666666667,2
100.0,60.35,12.0,0,0,5.0,2,2,0,41.66666666666667,0
100.0,68.7,12.0,0,0,3.0,2,2,0,41.66666666666667,1
100.0,63.65,14.0,0,0,15.0,2,2,0,41.66666666666667,2
100.0,68.15,10.0,0,3,8.0,2,2,0,41.66666666666667,2
100.0,62.3,14.0,0,0,12.0,2,2,0,41.66666666666667,1
100.0,60.150000000000006,3.0,1,0,0.0,2,2,1,41.66666666666667,2
100.0,60.9,14.0,0,0,15.0,2,2,0,41.66666666666667,1
100.0,62.74999999999999,14.0,0,0,14.0,2,2,0,41.66666666666667,2
100.0,57.45,12.0,0,0,12.0,2,2,0,41.66666666666667,2
100.0,61.95,14.0,0,0,13.0,2,2,0,41.66666666666667,2
100.0,78.5,12.0,0,0,9.0,2,2,0,41.66666666666667,1
100.0,58.20000000000001,12.0,0,0,12.0,2,2,1,41.66666666666667,2
100.0,65.5,10.0,0,2,9.0,2,2,0,41.66666666666667,1
100.0,61.04999999999999,10.0,0,0,10.0,2,2,0,41.66666666666667,2
100.0,59.4,14.0,0,0,12.0,2,2,0,41.66666666666667,1
100.0,75.0,12.0,0,0,10.0,2,2,1,41.66666666666667,1
100.0,65.0,12.0,0,0,10.0,2,2,0,41.66666666666667,2
100.0,69.4,10.0,0,0,5.0,2,2,0,41.66666666666667,1
100.0,67.25,12.0,0,0,12.0,2,2,0,41.66666666666667,2
100.0,65.7,10.0,0,0,10.0,2,2,2,41.66666666666667,2
100.0,51.24999999999999,14.0,0,0,1.0,2,2,2,41.66666666666667,0
100.0,64.4,10.0,0,0,0.0,2,2,2,41.66666666666667,0
100.0,61.45,10.0,0,2,3.0,2,2,2,41.66666666666667,0
100.0,56.95,10.0,0,0,10.0,2,2,2,41.66666666666667,2
100.0,60.0,12.0,0,0,6.0,2,2,0,41.66666666666667,0
100.0,60.54999999999999,11.0,0,0,4.0,2,2,0,41.66666666666667,0
100.0,60.199999999999996,10.0,0,0,10.0,2,2,1,41.66666666666667,2
100.0,50.3,14.0,0,0,12.0,2,2,1,41.66666666666667,2
100.0,60.699999999999996,12.0,0,0,9.0,2,2,0,41.66666666666667,0
100.0,54.85,10.0,0,0,0.0,2,2,2,41.66666666666667,0
100.0,67.05,10.0,0,1,5.0,2,2,2,41.66666666666667,1
100.0,63.800000000000004,12.0,0,0,11.0,2,2,0,41.66666666666667,2
100.0,66.2,14.0,0,0,13.0,2,2,1,41.66666666666667,2
100.0,66.7,12.0,0,0,12.0,2,2,1,41.66666666666667,2
100.0,63.05,12.0,0,0,11.0,2,2,0,41.66666666666667,2
100.0,56.75,12.0,0,0,12.0,2,2,2,41.66666666666667,2
100.0,60.650000000000006,14.0,0,0,12.0,2,2,0,41.66666666666667,1
100.0,60.9,12.0,0,0,7.0,2,2,0,41.66666666666667,1
100.0,79.65,10.0,0,0,10.0,2,2,0,41.66666666666667,2
100.0,60.0,10.0,0,0,10.0,2,2,2,41.66666666666667,0
100.0,64.55,14.0,0,0,15.0,2,2,0,41.66666666666667,2
100.0,65.0,12.0,0,0,0.0,2,2,2,41.66666666666667,0
100.0,77.65,14.0,0,0,15.0,2,2,2,41.66666666666667,0
100.0,69.9,14.0,0,0,16.0,2,2,0,41.66666666666667,2
100.0,57.60000000000001,3.0,1,0,0.0,2,2,0,41.66666666666667,1
100.0,57.45,14.0,0,0,13.0,2,2,0,41.66666666666667,2
100.0,65.95,12.0,0,0,12.0,2,2,1,41.66666666666667,2
100.0,63.0,3.0,1,0,0.0,2,2,0,41.66666666666667,1
100.0,65.1,12.0,0,0,6.0,2,2,0,41.66666666666667,1
100.0,60.45,12.0,0,0,0.0,2,2,2,41.66666666666667,1
100.0,63.0,14.0,0,0,10.0,2,2,2,41.66666666666667,0
100.0,64.1,3.0,1,0,0.0,2,2,0,41.66666666666667,2
100.0,65.0,12.0,0,0,12.0,2,2,1,41.66666666666667,2
